"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-01","10.96",,"0.00","0.0","0.0","45","50","34","  310","  320","23.0","30.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-02","6.04",,"0.00","0.0","0.0","39","54","30","  280","  320","13.0","17.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-03","5.14",,"0.03","0.0","0.0","39","47","31","  290","  310","8.9","12.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-04","9.62",,"0.00","0.0","0.0","41","53","34","  320","  320","17.0","23.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-05","11.18",,"0.17","0.0","0.0","40","53","32","   90","   80","18.1","25.9","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-06","9.40",,"0.70","0.0","0.0","44","51","39","   80","   80","23.9","31.1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-07","10.51",,"0.00","0.0","0.0","46","51","36","  310","  280","23.0","35.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-08","12.53",,"0.44","0.0","0.0","41","52","33","  120","  130","21.9","35.1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-09","14.76",,"2.75","0.0","0.0","48","54","40","  280","  280","30.0","45.0","    1",,"    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-10","10.74",,"0.00","0.0","0.0","43","51","37","  270","  290","29.1","38.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-11","5.82",,"0.00","0.0","0.0","45","62","35","  280","  300","15.0","21.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-12","9.17",,"0.22","0.0","0.0","47","56","42","  110","  110","21.9","32.0","    1",,"    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-13","11.41",,"0.00","0.0","0.0","42","50","31","  280","  280","23.0","36.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-14","6.93",,"0.00","0.0","0.0","41","58","30","  280","  300","18.1","27.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-15","4.70",,"0.00","0.0","0.0","49","61","42","  310","  210","13.0","19.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-16","15.66",,"0.40","0.0","0.0","38","46","18","  310","  350","28.0","36.0","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-17","8.50",,"0.00","0.0","0.0","23","39","13","  310","  310","18.1","23.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-18","5.82",,"0.00","0.0","0.0","35","51","24","  190","  210","15.0","21.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-19","16.55",,"0.02","0.0","0.0","44","48","27","  310","  310","31.1","47.0","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-20","15.66",,"0.00","0.0","0.0","26","32","17","  340","  330","21.0","31.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-21","4.70",,"0.00","0.0","0.0","24","41","14","  340","  350","14.1","19.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-22","9.17",,"0.00","0.0","0.0","36","50","27","   70","  100","14.1","19.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-23","10.07",,"0.05","0.0","0.0","45","52","41","   90","   40","15.0","23.0","    1",,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-24","7.61",,"0.09","0.0","0.0","53","63","48","  100","  120","13.0","19.0","    1","    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-25","7.83",,"1.10","0.0","0.0","65","72","61","  290","  280","25.1","36.9","    1","    1","    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-26","3.13",,"0.00","0.0","0.0","63","69","60","  220","  230","8.9","12.1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-27","8.05",,"0.46","0.0","0.0","62","66","57","  160","  140","23.9","38.0","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-28","17.22",,"0.00","0.0","0.0","51","56","44","  280","  300","28.0","36.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-29","14.32",,"0.00","0.0","0.0","46","54","39","  320","  320","23.0","31.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-30","6.71",,"0.00","0.0","0.0","44","61","33","  230","  230","13.0","21.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-01-31","11.86",,"0.00","0.0","0.0","50","56","40","  360","  340","19.9","31.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-01","6.04",,"0.00","0.0","0.0","45","63","33","  290","  300","10.1","14.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-02","7.61",,"0.00","0.0","0.0","53","70","41","  350","  340","15.0","23.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-03","11.41",,"0.00","0.0","0.0","53","62","46","   70","   80","23.0","30.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-04","19.91",,"0.51","0.0","0.0","47","50","42","   60","   60","35.1","48.1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-05","12.30",,"0.07","0.0","0.0","47","59","42","   80","   70","29.1","40.9","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-06","5.14",,"0.00","0.0","0.0","51","65","40","   90","   10","14.1","19.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-07","5.14",,"0.00","0.0","0.0","48","59","37","  100","  100","16.1","21.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-08","5.82",,"0.00","0.0","0.0","48","56","39","  130","  140","13.0","17.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-09","4.47",,"0.00","0.0","0.0","53","63","47","  190","  220","10.1","14.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-10","5.59",,"0.06","0.0","0.0","60","66","56","  180","  170","13.0","23.9","    1",,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-11","6.93",,"0.59","0.0","0.0","62","68","60","  190","  190","15.0","21.9","    1",,"    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-12","10.74",,"2.25","0.0","0.0","60","61","49","  290","  290","29.1","46.1","    1",,"    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-13","14.54",,"0.00","0.0","0.0","49","57","41","  280","  280","29.1","42.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-14","5.37",,"0.00","0.0","0.0","49","66","37","  350","  350","12.1","16.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-15","5.37",,"0.00","0.0","0.0","54","69","41","  270","  260","15.0","21.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-16","6.49",,"0.00","0.0","0.0","58","65","50","  190","  190","16.1","23.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-17","15.88",,"0.01","0.0","0.0","50","57","36","  330","  320","23.9","36.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-18","8.05",,"0.00","0.0","0.0","39","53","31","  330","  340","16.1","21.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-19","6.71",,"0.00","0.0","0.0","47","62","39","  320","  330","17.0","23.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-20","2.46",,"0.00","0.0","0.0","49","62","37","  160","   40","6.9","10.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-21","4.47",,"0.00","0.0","0.0","51","66","38","  180","  200","10.1","15.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-22","8.72",,"0.00","0.0","0.0","56","70","44","  220","  200","21.9","33.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-23","13.87",,"0.18","0.0","0.0","62","68","54","  310","  310","25.9","38.0","    1",,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-24","13.42",,"0.00","0.0","0.0","55","66","43","  320","  310","31.1","45.0",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-25","4.92",,"0.00","0.0","0.0","49","64","34","  220","  200","10.1","14.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-26","8.50",,"0.00","0.0","0.0","58","73","44","  220","  220","16.1","25.1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-27","11.63",,"0.00","0.0","0.0","64","73","56","  200","  180","21.0","40.9",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-28","17.90",,"0.22","0.0","0.0","68","75","44","  300","  300","36.9","55.9","    1",,"    1",
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-29","9.17",,"0.00","0.0","0.0","46","53","38","  340","  340","16.1","21.9",,,,
