"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/04","00:00","0.471","-","0.71"
"2023/12/04","00:06","0.468","-","0.698"
"2023/12/04","00:12","0.466","-","0.71"
"2023/12/04","00:18","0.463","-","0.678"
"2023/12/04","00:24","0.461","-","0.682"
"2023/12/04","00:30","0.458","-","0.7"
"2023/12/04","00:36","0.456","-","0.69"
"2023/12/04","00:42","0.454","-","0.704"
"2023/12/04","00:48","0.452","-","0.722"
"2023/12/04","00:54","0.45","-","0.724"
"2023/12/04","01:00","0.449","-","0.686"
"2023/12/04","01:06","0.447","-","0.708"
"2023/12/04","01:12","0.446","-","0.732"
"2023/12/04","01:18","0.445","-","0.73"
"2023/12/04","01:24","0.444","-","0.735"
"2023/12/04","01:30","0.444","-","0.71"
"2023/12/04","01:36","0.443","-","0.679"
"2023/12/04","01:42","0.443","-","0.69"
"2023/12/04","01:48","0.443","-","0.649"
"2023/12/04","01:54","0.444","-","0.672"
"2023/12/04","02:00","0.444","-","0.68"
"2023/12/04","02:06","0.445","-","0.686"
"2023/12/04","02:12","0.447","-","0.68"
"2023/12/04","02:18","0.448","-","0.721"
"2023/12/04","02:24","0.45","-","0.713"
"2023/12/04","02:30","0.451","-","0.71"
"2023/12/04","02:36","0.454","-","0.717"
"2023/12/04","02:42","0.456","-","0.724"
"2023/12/04","02:48","0.459","-","0.708"
"2023/12/04","02:54","0.462","-","0.718"
"2023/12/04","03:00","0.465","-","0.684"
"2023/12/04","03:06","0.468","-","0.711"
"2023/12/04","03:12","0.471","-","0.736"
"2023/12/04","03:18","0.475","-","0.651"
"2023/12/04","03:24","0.479","-","0.721"
"2023/12/04","03:30","0.483","-","0.742"
"2023/12/04","03:36","0.487","-","0.764"
"2023/12/04","03:42","0.492","-","0.741"
"2023/12/04","03:48","0.496","-","0.749"
"2023/12/04","03:54","0.501","-","0.751"
"2023/12/04","04:00","0.506","-","0.8"
"2023/12/04","04:06","0.511","-","0.803"
"2023/12/04","04:12","0.516","-","0.789"
"2023/12/04","04:18","0.521","-","0.766"
"2023/12/04","04:24","0.527","-","0.787"
"2023/12/04","04:30","0.532","-","0.807"
"2023/12/04","04:36","0.537","-","0.769"
"2023/12/04","04:42","0.543","-","0.82"
"2023/12/04","04:48","0.548","-","0.822"
"2023/12/04","04:54","0.553","-","0.854"
"2023/12/04","05:00","0.559","-","0.862"
"2023/12/04","05:06","0.564","-","0.833"
"2023/12/04","05:12","0.57","-","0.898"
"2023/12/04","05:18","0.575","-","0.9"
"2023/12/04","05:24","0.58","-","0.844"
"2023/12/04","05:30","0.586","-","0.863"
"2023/12/04","05:36","0.591","-","0.924"
"2023/12/04","05:42","0.596","-","0.909"
"2023/12/04","05:48","0.601","-","0.916"
"2023/12/04","05:54","0.606","-","0.928"
"2023/12/04","06:00","0.61","-","0.903"
"2023/12/04","06:06","0.615","-","0.93"
"2023/12/04","06:12","0.619","-","0.901"
"2023/12/04","06:18","0.624","-","0.914"
"2023/12/04","06:24","0.628","-","0.876"
"2023/12/04","06:30","0.632","-","0.887"
"2023/12/04","06:36","0.635","-","0.884"
"2023/12/04","06:42","0.639","-","0.953"
"2023/12/04","06:48","0.642","-","0.939"
"2023/12/04","06:54","0.645","-","0.929"
"2023/12/04","07:00","0.648","-","0.915"
"2023/12/04","07:06","0.651","-","0.932"
"2023/12/04","07:12","0.653","-","0.89"
"2023/12/04","07:18","0.655","-","0.876"
"2023/12/04","07:24","0.657","-","0.923"
"2023/12/04","07:30","0.658","-","0.919"
"2023/12/04","07:36","0.659","-","0.931"
"2023/12/04","07:42","0.66","-","0.935"
"2023/12/04","07:48","0.661","-","0.967"
"2023/12/04","07:54","0.661","-","0.909"
"2023/12/04","08:00","0.661","-","0.938"
"2023/12/04","08:06","0.661","-","0.977"
"2023/12/04","08:12","0.66","-","0.933"
"2023/12/04","08:18","0.659","-","0.951"
"2023/12/04","08:24","0.658","-","0.925"
"2023/12/04","08:30","0.656","-","0.915"
"2023/12/04","08:36","0.654","-","0.947"
"2023/12/04","08:42","0.652","-","0.919"
"2023/12/04","08:48","0.649","-","0.868"
"2023/12/04","08:54","0.646","-","0.888"
"2023/12/04","09:00","0.642","-","0.892"
"2023/12/04","09:06","0.639","-","0.9"
"2023/12/04","09:12","0.635","-","0.867"
"2023/12/04","09:18","0.63","-","0.879"
"2023/12/04","09:24","0.625","-","0.857"
"2023/12/04","09:30","0.62","-","0.843"
"2023/12/04","09:36","0.614","-","0.831"
"2023/12/04","09:42","0.608","-","0.863"
"2023/12/04","09:48","0.602","-","0.863"
"2023/12/04","09:54","0.596","-","0.861"
"2023/12/04","10:00","0.589","-","0.807"
"2023/12/04","10:06","0.581","-","0.749"
"2023/12/04","10:12","0.574","-","0.841"
"2023/12/04","10:18","0.566","-","0.873"
